127.0.0.1 - - [16/Apr/2016:09:00:12 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:00:30 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 4688
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:00:31 +0300] "GET /TFL/faces/style/indexCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:00:36 +0300] "GET /TFL/faces/images/fotball.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:00:40 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:00:40 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:01:01 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:01:02 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 18548
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:01:02 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:01:02 +0300] "GET /TFL/faces/images/next.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:01:02 +0300] "GET /TFL/faces/images/history.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:01:02 +0300] "GET /TFL/faces/images/players.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:01:04 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 24180
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:01:07 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:01:08 +0300] "GET /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 21164
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:01:10 +0300] "POST /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 25082
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:01:15 +0300] "POST /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 22104
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:01:37 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png?ln=primefaces-aristo HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:03:06 +0300] "GET /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 21164
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:04:14 +0300] "GET /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 21164
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:06:34 +0300] "GET /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 21311
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:07:07 +0300] "GET /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 21278
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:07:21 +0300] "GET /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 21392
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:07:28 +0300] "POST /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 25330
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:07:31 +0300] "POST /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:07:31 +0300] "GET /TFL/faces/resources/historyuser.xhtml HTTP/1.1" 200 18363
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:08:20 +0300] "GET /TFL/faces/resources/historyuser.xhtml HTTP/1.1" 200 20460
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:08:28 +0300] "POST /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 2199
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:08:32 +0300] "POST /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 2199
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:08:33 +0300] "POST /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:08:35 +0300] "POST /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 2199
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:08:38 +0300] "POST /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 27617
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:08:41 +0300] "POST /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:08:41 +0300] "GET /TFL/faces/resources/historyuser.xhtml HTTP/1.1" 200 20460
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:09:06 +0300] "GET /TFL/faces/resources/historyuser.xhtml HTTP/1.1" 200 20651
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:09:09 +0300] "POST /TFL/faces/resources/historyuser.xhtml HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [16/Apr/2016:09:09:09 +0300] "GET /TFL/faces/resources/teamsuser.xhtml HTTP/1.1" 200 19696
