127.0.0.1 - - [06/Apr/2016:10:56:01 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:09 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 4917
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:09 +0300] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:09 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:09 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:09 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:09 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:10 +0300] "GET /TFL/faces/javax.faces.resource/spacer/dot_clear.gif?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:12 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_highlight-soft_100_c4c4c4_1x100.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:12 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:18 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:32 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:33 +0300] "GET /TFL/faces/resources/adminuser.xhtml HTTP/1.1" 200 25824
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:33 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:33 +0300] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:33 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:33 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:33 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:33 +0300] "GET /TFL/faces/javax.faces.resource/inputswitch/inputswitch.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:33 +0300] "GET /TFL/faces/javax.faces.resource/inputswitch/inputswitch.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:33 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:33 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_inset-hard_65_85b2cb_1x100.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:33 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_highlight-soft_100_c4c4c4_1x100.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:33 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-icons_616161_256x240.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:40 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:40 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-icons_38667f_256x240.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:48 +0300] "POST /TFL/faces/resources/adminuser.xhtml HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:48 +0300] "GET /TFL/faces/resources/teamsadmin.xhtml HTTP/1.1" 200 33098
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:48 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:48 +0300] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:48 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:48 +0300] "GET /TFL/faces/javax.faces.resource/inputswitch/inputswitch.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:48 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:48 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:48 +0300] "GET /TFL/faces/javax.faces.resource/inputswitch/inputswitch.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:49 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_inset-hard_65_85b2cb_1x100.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:49 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:49 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-icons_616161_256x240.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:49 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-icons_38667f_256x240.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:10:56:49 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_highlight-soft_100_c4c4c4_1x100.png?ln=primefaces-aristo HTTP/1.1" 304 -
