127.0.0.1 - - [03/May/2016:12:20:33 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/May/2016:12:20:41 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 5222
0:0:0:0:0:0:0:1 - - [03/May/2016:12:20:42 +0300] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-hot-sneaks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:20:42 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:20:42 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:20:42 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:20:42 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:20:42 +0300] "GET /TFL/faces/RES_NOT_FOUND HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [03/May/2016:12:20:42 +0300] "GET /TFL/faces/images/sf.jpg?pfdrid_c=true HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:20:45 +0300] "GET /TFL/faces/RES_NOT_FOUND HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [03/May/2016:12:20:46 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_flat_75_ffffff_40x100.png?ln=primefaces-hot-sneaks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:20:46 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_diagonals-small_50_93c3cd_40x40.png?ln=primefaces-hot-sneaks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:20:46 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_dots-small_35_35414f_2x2.png?ln=primefaces-hot-sneaks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:20:46 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [03/May/2016:12:20:46 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [03/May/2016:12:21:24 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_diagonals-small_75_ccd232_40x40.png?ln=primefaces-hot-sneaks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:23:08 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_diagonals-small_40_db4865_40x40.png?ln=primefaces-hot-sneaks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:23:18 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [03/May/2016:12:23:18 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 8511
0:0:0:0:0:0:0:1 - - [03/May/2016:12:23:18 +0300] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-hot-sneaks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:23:18 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:23:18 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:23:18 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:23:18 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:23:18 +0300] "GET /TFL/faces/style/normalUserCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:23:18 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_flat_75_ffffff_40x100.png?ln=primefaces-hot-sneaks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:23:18 +0300] "GET /TFL/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:23:19 +0300] "GET /TFL/faces/images/players.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:23:19 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_diagonals-small_50_93c3cd_40x40.png?ln=primefaces-hot-sneaks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:23:34 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_diagonals-small_75_ccd232_40x40.png?ln=primefaces-hot-sneaks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:23:35 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_diagonals-small_40_db4865_40x40.png?ln=primefaces-hot-sneaks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:23:35 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 12336
0:0:0:0:0:0:0:1 - - [03/May/2016:12:23:35 +0300] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-hot-sneaks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:23:35 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:12:23:35 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
