127.0.0.1 - - [08/May/2016:11:18:22 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/May/2016:11:18:37 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 8116
0:0:0:0:0:0:0:1 - - [08/May/2016:11:18:38 +0300] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-hot-sneaks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:18:39 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:18:39 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:18:39 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:18:39 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:18:39 +0300] "GET /TFL/faces/RES_NOT_FOUND HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/May/2016:11:18:39 +0300] "GET /TFL/faces/styles/indexCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:18:40 +0300] "GET /TFL/faces/RES_NOT_FOUND HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/May/2016:11:18:44 +0300] "GET /TFL/faces/images/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:18:44 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_dots-small_35_35414f_2x2.png?ln=primefaces-hot-sneaks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:18:45 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_diagonals-small_50_93c3cd_40x40.png?ln=primefaces-hot-sneaks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:18:45 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:11:18:45 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:11:21:43 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_diagonals-small_75_ccd232_40x40.png?ln=primefaces-hot-sneaks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:21:43 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_diagonals-small_40_db4865_40x40.png?ln=primefaces-hot-sneaks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:21:58 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [08/May/2016:11:21:58 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 8551
0:0:0:0:0:0:0:1 - - [08/May/2016:11:21:58 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:21:58 +0300] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-hot-sneaks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:21:58 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:21:58 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:21:58 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:21:59 +0300] "GET /TFL/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:21:59 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_flat_75_ffffff_40x100.png?ln=primefaces-hot-sneaks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:21:59 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_diagonals-small_50_93c3cd_40x40.png?ln=primefaces-hot-sneaks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:22:03 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_diagonals-small_75_ccd232_40x40.png?ln=primefaces-hot-sneaks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:50:55 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 10264
0:0:0:0:0:0:0:1 - - [08/May/2016:11:50:55 +0300] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-hot-sneaks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:50:55 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:50:55 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:50:55 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:50:55 +0300] "GET /TFL/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:50:55 +0300] "GET /TFL/faces/resources/styles/headerCss.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [08/May/2016:11:50:55 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2016:11:50:55 +0300] "GET /TFL/faces/styles/headerCss.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [08/May/2016:11:50:55 +0300] "GET /TFL/faces/resources/styles/headerCss.css HTTP/1.1" 404 1062
