127.0.0.1 - - [21/Mar/2016:15:35:39 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:35:42 +0200] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 5025
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:35:43 +0200] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:35:43 +0200] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:35:43 +0200] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:35:43 +0200] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:35:43 +0200] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:35:43 +0200] "GET /TFL/faces/mycss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:35:43 +0200] "GET /TFL/faces/javax.faces.resource/spacer/dot_clear.gif?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:35:45 +0200] "GET /TFL/faces/javax.faces.resource/images/ui-bg_highlight-soft_100_c4c4c4_1x100.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:35:45 +0200] "GET /TFL/faces/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:36:11 +0200] "POST /TFL/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:36:12 +0200] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 23294
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:36:12 +0200] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:36:12 +0200] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:36:12 +0200] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:36:12 +0200] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:36:13 +0200] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:36:13 +0200] "GET /TFL/faces/javax.faces.resource/inputswitch/inputswitch.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:36:13 +0200] "GET /TFL/faces/javax.faces.resource/inputswitch/inputswitch.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:36:13 +0200] "GET /TFL/faces/images/ball.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:36:13 +0200] "GET /TFL/faces/javax.faces.resource/images/ui-bg_inset-hard_65_85b2cb_1x100.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:36:13 +0200] "GET /TFL/faces/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:36:13 +0200] "GET /TFL/faces/javax.faces.resource/images/ui-bg_highlight-soft_100_c4c4c4_1x100.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:36:13 +0200] "GET /TFL/faces/javax.faces.resource/images/ui-icons_616161_256x240.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:36:28 +0200] "GET /TFL/faces/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:36:28 +0200] "GET /TFL/faces/javax.faces.resource/images/ui-icons_38667f_256x240.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:36:29 +0200] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:36:30 +0200] "GET /TFL/faces/resources/historyuser.xhtml HTTP/1.1" 200 24872
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:36:30 +0200] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:36:30 +0200] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:36:30 +0200] "GET /TFL/faces/javax.faces.resource/inputswitch/inputswitch.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:15:36:30 +0200] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
