127.0.0.1 - - [10/May/2016:09:21:59 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:15 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 8098
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:16 +0300] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:16 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:16 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:16 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:16 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:16 +0300] "GET /TFL/faces/RES_NOT_FOUND HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:16 +0300] "GET /TFL/faces/styles/indexCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:17 +0300] "GET /TFL/faces/RES_NOT_FOUND HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:18 +0300] "GET /TFL/faces/images/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:19 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:19 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:44 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:44 +0300] "GET /TFL/faces/resources/adminuser.xhtml HTTP/1.1" 200 18458
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:44 +0300] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:44 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:44 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:44 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:44 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:44 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:44 +0300] "GET /TFL/faces/styles/headerCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:44 +0300] "GET /TFL/faces/styles/userCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:45 +0300] "GET /TFL/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:45 +0300] "GET /TFL/faces/images/ball.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:45 +0300] "GET /TFL/faces/images/nextgames.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:45 +0300] "GET /TFL/faces/images/players.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:45 +0300] "GET /TFL/faces/images/history.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:45 +0300] "GET /TFL/faces/images/grey.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:53 +0300] "POST /TFL/faces/resources/adminuser.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:53 +0300] "GET /TFL/faces/resources/nextadmingames.xhtml HTTP/1.1" 200 38605
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:53 +0300] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:53 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:53 +0300] "GET /TFL/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:53 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:53 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:22:53 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:23:03 +0300] "POST /TFL/faces/resources/nextadmingames.xhtml HTTP/1.1" 200 39595
0:0:0:0:0:0:0:1 - - [10/May/2016:09:23:03 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:23:03 +0300] "GET /TFL/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:23:03 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:23:03 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:23:03 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:23:03 +0300] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:23:03 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-icons_616161_256x240.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2016:09:23:03 +0300] "GET /TFL/faces/javax.faces.resource/messages/messages.png?ln=primefaces&v=5.3 HTTP/1.1" 304 -
