127.0.0.1 - - [11/May/2016:09:18:59 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:31 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 5916
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:34 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:34 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:34 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:34 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:34 +0300] "GET /TFL/faces/RES_NOT_FOUND HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:34 +0300] "GET /TFL/faces/styles/indexCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:35 +0300] "GET /TFL/faces/RES_NOT_FOUND HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:37 +0300] "GET /TFL/faces/images/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:37 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:37 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:52 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:53 +0300] "GET /TFL/faces/resources/adminuser.xhtml HTTP/1.1" 200 18822
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:53 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:53 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:53 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:53 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:53 +0300] "GET /TFL/faces/styles/headerCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:53 +0300] "GET /TFL/faces/styles/userCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:53 +0300] "GET /TFL/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:53 +0300] "GET /TFL/faces/images/ball.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:53 +0300] "GET /TFL/faces/images/nextgames.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:53 +0300] "GET /TFL/faces/images/players.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:54 +0300] "GET /TFL/faces/images/history.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:19:54 +0300] "GET /TFL/faces/images/back.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:20:02 +0300] "POST /TFL/faces/resources/adminuser.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:20:03 +0300] "GET /TFL/faces/resources/nextadmingames.xhtml HTTP/1.1" 200 47480
0:0:0:0:0:0:0:1 - - [11/May/2016:09:20:03 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:20:03 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:20:03 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:20:03 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:20:03 +0300] "GET /TFL/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:20:14 +0300] "POST /TFL/faces/resources/nextadmingames.xhtml HTTP/1.1" 200 48458
0:0:0:0:0:0:0:1 - - [11/May/2016:09:20:14 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:20:14 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:20:14 +0300] "GET /TFL/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:20:14 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:20:14 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:20:14 +0300] "GET /TFL/faces/javax.faces.resource/messages/messages.png?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2016:09:20:21 +0300] "POST /TFL/faces/resources/nextadmingames.xhtml HTTP/1.1" 200 46358
0:0:0:0:0:0:0:1 - - [11/May/2016:09:20:21 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
