127.0.0.1 - - [18/May/2016:09:38:38 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/May/2016:09:39:01 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 6148
0:0:0:0:0:0:0:1 - - [18/May/2016:09:39:02 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2016:09:39:02 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2016:09:39:02 +0300] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2016:09:39:02 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2016:09:39:02 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2016:09:39:02 +0300] "GET /TFL/faces/RES_NOT_FOUND HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [18/May/2016:09:39:02 +0300] "GET /TFL/faces/styles/indCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2016:09:39:03 +0300] "GET /TFL/faces/RES_NOT_FOUND HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [18/May/2016:09:39:04 +0300] "GET /TFL/faces/images/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2016:09:39:04 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_glass_25_cb842e_1x400.png?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2016:09:39:04 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_glass_70_ede4d4_1x400.png?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2016:09:39:04 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/May/2016:09:39:04 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/May/2016:09:43:45 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_glass_100_f5f0e5_1x400.png?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2016:09:49:23 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [18/May/2016:09:49:23 +0300] "GET /TFL/faces/RES_NOT_FOUND HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [18/May/2016:09:49:23 +0300] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2016:10:05:55 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 940
0:0:0:0:0:0:0:1 - - [18/May/2016:10:05:55 +0300] "GET /TFL/faces/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [18/May/2016:10:05:55 +0300] "GET /TFL/faces/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [18/May/2016:10:05:55 +0300] "GET /TFL/faces/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [18/May/2016:10:05:55 +0300] "GET /TFL/faces/RES_NOT_FOUND HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [18/May/2016:10:05:55 +0300] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2016:10:07:40 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 1035
