127.0.0.1 - - [10/Jun/2016:13:56:10 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:14 +0300] "GET /TFL/index.xhtml HTTP/1.1" 200 5024
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:14 +0300] "GET /TFL/javax.faces.resource/styles/indexCss.css.xhtml;jsessionid=6360EC11B4A9D42B0628A29EE5B8E83C HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:14 +0300] "GET /TFL/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=6360EC11B4A9D42B0628A29EE5B8E83C?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:14 +0300] "GET /TFL/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=6360EC11B4A9D42B0628A29EE5B8E83C?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:14 +0300] "GET /TFL/javax.faces.resource/primefaces.css.xhtml;jsessionid=6360EC11B4A9D42B0628A29EE5B8E83C?ln=primefaces&v=5.3 HTTP/1.1" 200 70754
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:14 +0300] "GET /TFL/javax.faces.resource/primefaces.js.xhtml;jsessionid=6360EC11B4A9D42B0628A29EE5B8E83C?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:14 +0300] "GET /TFL/styles/indexCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:14 +0300] "GET /TFL/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:14 +0300] "GET /TFL/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:14 +0300] "GET /TFL/javax.faces.resource/theme.css.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:14 +0300] "GET /TFL/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:14 +0300] "GET /TFL/javax.faces.resource/styles/indexCss.css.xhtml;jsessionid=6360EC11B4A9D42B0628A29EE5B8E83C HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:15 +0300] "GET /TFL/images/c.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:15 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_inset-soft_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:15 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_25_cb842e_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:15 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_70_ede4d4_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:15 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:15 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:20 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_100_f5f0e5_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:20 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_highlight-hard_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:24 +0300] "POST /TFL/index.xhtml;jsessionid=6360EC11B4A9D42B0628A29EE5B8E83C HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:24 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16141
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:24 +0300] "GET /TFL/faces/resources/RES_NOT_FOUND HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:24 +0300] "POST /TFL/index.xhtml;jsessionid=6360EC11B4A9D42B0628A29EE5B8E83C HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:24 +0300] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:24 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:24 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:25 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:25 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:25 +0300] "GET /TFL/faces/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:25 +0300] "GET /TFL/faces/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:25 +0300] "GET /TFL/faces/styles/customCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:25 +0300] "GET /TFL/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:25 +0300] "GET /TFL/faces/images/players.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:25 +0300] "GET /TFL/faces/images/history.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:25 +0300] "GET /TFL/faces/images/nextgames.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:25 +0300] "GET /TFL/faces/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:25 +0300] "GET /TFL/faces/resources/RES_NOT_FOUND HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:25 +0300] "GET /TFL/faces/images/d.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:25 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_glass_70_ede4d4_1x400.png?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:25 +0300] "GET /TFL/faces/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:32 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:32 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 4728
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:32 +0300] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:32 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:32 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:32 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:32 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:32 +0300] "GET /TFL/faces/javax.faces.resource/styles/indexCss.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:32 +0300] "GET /TFL/faces/styles/indexCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:32 +0300] "GET /TFL/faces/javax.faces.resource/styles/indexCss.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:32 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_glass_70_ede4d4_1x400.png?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:32 +0300] "GET /TFL/faces/images/c.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2016:13:56:32 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_inset-soft_100_f4f0ec_1x100.png?ln=primefaces-humanity HTTP/1.1" 304 -
