127.0.0.1 - - [22/Jun/2016:10:53:12 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:15 +0300] "GET /TFL/index.xhtml HTTP/1.1" 200 5562
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:15 +0300] "GET /TFL/javax.faces.resource/styles/indexCss.css.xhtml;jsessionid=20B34BB0C526ED2311CCE265084A831C HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:15 +0300] "GET /TFL/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=20B34BB0C526ED2311CCE265084A831C?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:15 +0300] "GET /TFL/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=20B34BB0C526ED2311CCE265084A831C?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:15 +0300] "GET /TFL/javax.faces.resource/primefaces.js.xhtml;jsessionid=20B34BB0C526ED2311CCE265084A831C?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:15 +0300] "GET /TFL/javax.faces.resource/primefaces.css.xhtml;jsessionid=20B34BB0C526ED2311CCE265084A831C?ln=primefaces&v=5.3 HTTP/1.1" 200 70754
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:15 +0300] "GET /TFL/javax.faces.resource/theme.css.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:15 +0300] "GET /TFL/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:15 +0300] "GET /TFL/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:15 +0300] "GET /TFL/styles/indexCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:15 +0300] "GET /TFL/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:15 +0300] "GET /TFL/javax.faces.resource/styles/indexCss.css.xhtml;jsessionid=20B34BB0C526ED2311CCE265084A831C HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:16 +0300] "GET /TFL/images/c.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:16 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_25_cb842e_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:16 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_inset-soft_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:16 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_70_ede4d4_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:16 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:16 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:21 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_100_f5f0e5_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:43 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_highlight-hard_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:47 +0300] "POST /TFL/index.xhtml;jsessionid=20B34BB0C526ED2311CCE265084A831C HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:47 +0300] "GET /TFL/resources/userview.xhtml HTTP/1.1" 200 16174
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:47 +0300] "GET /TFL/javax.faces.resource/theme.css.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:47 +0300] "GET /TFL/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:10:53:47 +0300] "GET /TFL/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
