127.0.0.1 - - [06/Jun/2016:10:17:45 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Jun/2016:10:17:49 +0300] "GET /TFL/index.xhtml HTTP/1.1" 200 5023
0:0:0:0:0:0:0:1 - - [06/Jun/2016:10:17:49 +0300] "GET /TFL/javax.faces.resource/styles/indexCss.css.xhtml;jsessionid=AE5FD2202A39D52E699F6F183024DD84 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:10:17:49 +0300] "GET /TFL/javax.faces.resource/primefaces.css.xhtml;jsessionid=AE5FD2202A39D52E699F6F183024DD84?ln=primefaces&v=5.3 HTTP/1.1" 200 70754
0:0:0:0:0:0:0:1 - - [06/Jun/2016:10:17:49 +0300] "GET /TFL/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=AE5FD2202A39D52E699F6F183024DD84?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [06/Jun/2016:10:17:49 +0300] "GET /TFL/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=AE5FD2202A39D52E699F6F183024DD84?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [06/Jun/2016:10:17:50 +0300] "GET /TFL/javax.faces.resource/primefaces.js.xhtml;jsessionid=AE5FD2202A39D52E699F6F183024DD84?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [06/Jun/2016:10:17:50 +0300] "GET /TFL/styles/indexCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:10:17:50 +0300] "GET /TFL/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:10:17:50 +0300] "GET /TFL/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:10:17:50 +0300] "GET /TFL/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:10:17:50 +0300] "GET /TFL/javax.faces.resource/styles/indexCss.css.xhtml;jsessionid=AE5FD2202A39D52E699F6F183024DD84 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:10:17:50 +0300] "GET /TFL/images/c.png HTTP/1.1" 304 -
