127.0.0.1 - - [02/Jun/2016:09:52:00 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:17 +0300] "GET /TFL/index.xhtml HTTP/1.1" 200 5679
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:19 +0300] "GET /TFL/javax.faces.resource/styles/indexCss.css.xhtml HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:19 +0300] "GET /TFL/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:19 +0300] "GET /TFL/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:19 +0300] "GET /TFL/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:19 +0300] "GET /TFL/styles/indexCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:19 +0300] "GET /TFL/javax.faces.resource/styles/indexCss.css.xhtml HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:20 +0300] "GET /TFL/images/c.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:20 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:20 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:31 +0300] "POST /TFL/index.xhtml HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:31 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 22389
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:31 +0300] "GET /TFL/faces/resources/RES_NOT_FOUND HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:32 +0300] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:32 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:32 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:32 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:32 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:32 +0300] "GET /TFL/faces/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:32 +0300] "GET /TFL/faces/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:32 +0300] "GET /TFL/faces/styles/customCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:32 +0300] "GET /TFL/faces/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:32 +0300] "GET /TFL/faces/resources/RES_NOT_FOUND HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:32 +0300] "GET /TFL/faces/images/d.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:32 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_glass_70_ede4d4_1x400.png?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:32 +0300] "GET /TFL/faces/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:33 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_glass_100_f5f0e5_1x400.png?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:37 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:38 +0300] "GET /TFL/faces/resources/viewpersonaldates.xhtml HTTP/1.1" 200 26150
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:38 +0300] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:38 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:38 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:38 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:38 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:38 +0300] "GET /TFL/faces/resources/RES_NOT_FOUND HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:39 +0300] "GET /TFL/faces/javax.faces.resource/inputswitch/inputswitch.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:39 +0300] "GET /TFL/faces/javax.faces.resource/inputswitch/inputswitch.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:39 +0300] "GET /TFL/faces/resources/RES_NOT_FOUND HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:39 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_glass_70_ede4d4_1x400.png?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:40 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_inset-soft_100_f4f0ec_1x100.png?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:40 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_highlight-hard_100_f4f0ec_1x100.png?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:40 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-icons_f08000_256x240.png?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:41 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-bg_glass_100_f5f0e5_1x400.png?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:41 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-icons_f35f07_256x240.png?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:50 +0300] "POST /TFL/faces/resources/viewpersonaldates.xhtml HTTP/1.1" 200 29211
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:50 +0300] "GET /TFL/faces/javax.faces.resource/theme.css?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:50 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2016:09:52:50 +0300] "GET /TFL/faces/javax.faces.resource/inputswitch/inputswitch.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
