127.0.0.1 - - [08/Jul/2016:08:51:12 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:16 +0300] "GET /TFL/index.xhtml HTTP/1.1" 200 6839
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:16 +0300] "GET /TFL/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:16 +0300] "GET /TFL/javax.faces.resource/theme.css.xhtml?ln=primefaces-humanity HTTP/1.1" 200 18499
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:16 +0300] "GET /TFL/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 70754
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:16 +0300] "GET /TFL/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:16 +0300] "GET /TFL/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:16 +0300] "GET /TFL/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:16 +0300] "GET /TFL/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:16 +0300] "GET /TFL/styles/indexCss.css HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:16 +0300] "GET /TFL/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:17 +0300] "GET /TFL/images/index.png HTTP/1.1" 200 81559
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:17 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_inset-soft_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:17 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_25_cb842e_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:17 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_70_ede4d4_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:17 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:17 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
